id,category,severity,query
1,specific_equipment,urgent,"My centrifugal pump is producing a high-pitched whining noise and the outlet pressure has dropped by 20% over the past 3 days. Operating at 1480 RPM, pumping water at 60°C. What could be wrong?"
2,specific_equipment,immediate,"The main drive motor on our conveyor line is drawing 40% more current than its rated nameplate value and the casing is extremely hot to the touch. It's been running for 6 hours. What's happening?"
3,symptom_vibration,urgent,"Our reciprocating compressor shows abnormally high vibration at the 2X running speed frequency. Vibration amplitude is 8 mm/s RMS, baseline was 2 mm/s. No change in operating pressure or speed."
4,symptom_thermal,urgent,"Hydraulic oil temperature in our press machine is reaching 85°C after only 2 hours of operation. Normal operating temperature should be 45–55°C. Oil was changed 3 months ago."
5,multi_symptom,immediate,"Our induced draft fan is showing: (1) increasing vibration over the past week, (2) bearing housing temperature went from 55°C to 78°C, and (3) a low grinding noise at startup. Running speed is 980 RPM."
6,multi_symptom,urgent,"After replacing the mechanical seal on our slurry pump, we now have: excessive leakage from the gland area, increased vibration, and the pump is cavitating intermittently. What went wrong during reassembly?"
7,predictive_maintenance,scheduled,"We have a 75 kW induction motor driving a cooling water pump, running 24/7 in a humid coastal environment. No failures yet. What predictive maintenance checks should I schedule and at what intervals?"
8,predictive_maintenance,scheduled,"Our gearbox oil analysis report shows iron particle count increased from 12 ppm to 47 ppm over the last 3 months. No abnormal noise or temperature yet. Should I be concerned? What does this trend mean?"
9,comparison_knowledge,informational,"What is the practical difference between 'misalignment' and 'imbalance' in rotating equipment? How do I tell them apart from the vibration data without a spectrum analyzer?"
10,comparison_knowledge,informational,"When should I use a lip seal vs a mechanical seal in a centrifugal pump? What are the failure modes of each?"
11,ambiguous,unknown,"The machine is not running properly. Something feels off but I cannot describe it well. It's a pump in our water treatment plant."
12,ambiguous,unknown,"We started hearing a strange noise from one of the motors in Hall 3 about a week ago. It gets louder when the load increases. Not sure which motor exactly."
13,safety_critical,immediate,"There is smoke coming from the main electrical panel connected to our 132 kW compressor motor, and we can smell something burning. The motor is still running."
14,safety_critical,immediate,"Our hydraulic press suddenly made a very loud bang and stopped. There is hydraulic oil spraying from the back of the machine and one operator was nearby."
15,out_of_scope,none,"Can you help me design a new factory layout for our production line expansion?"
16,out_of_scope,none,"What is the best brand of lubricating oil I should purchase for my gearboxes?"
17,specific_equipment,urgent,"Our screw air compressor is loading and unloading every 30 seconds instead of staying loaded. Pressure setpoints haven't changed. Air demand is normal. What causes this short cycling behavior?"
18,specific_equipment,scheduled,"A submersible pump in our wastewater sump has been running for 4 years with no maintenance. What are the most likely wear points I should inspect during the next planned shutdown?"
19,symptom_vibration,informational,"What does a 1X vibration peak that appears only at operating temperature (not during cold startup) typically indicate in a centrifugal pump?"
20,symptom_electrical,urgent,"Our PLC is showing an intermittent overcurrent fault on a conveyor motor. The fault clears after a 5-minute reset and runs fine for 2–4 hours before faulting again. Ambient temperature in the motor room is 42°C."
21,multi_symptom,immediate,"After a 3-day plant shutdown, we restarted a cooling tower fan and noticed: reverse rotation for 2 seconds before correcting itself, excessive vibration at startup, and the motor trips on overload after 8 minutes."
22,diagnostic_interpretation,informational,"Our vibration report shows sub-synchronous vibration at 0.47X running speed in our centrifugal pump. What does this frequency component typically indicate?"
23,diagnostic_interpretation,urgent,"Oil analysis on our main gearbox shows: viscosity dropped from ISO 220 to ISO 150, acid number increased to 1.8 mg KOH/g, and water content is 0.08%. Interpret these results and advise action."
24,beginner_user,unknown,"I am a new technician and I don't understand vibration analysis. One of our motors has been flagged as 'Alarm' on the condition monitoring system. What should I do step by step?"
25,specific_equipment,urgent,"Our plate heat exchanger pressure drop increased by 35% over 2 months at the same flow rate. Process temperatures are also slightly lower than setpoint. No leaks detected. What is the likely cause?"
